participant_id,filename,jumps,right_moves,left_moves,kills,powerups,coins_collected,deaths,wins,event_code
0007113,MarioLevelInfoTimeline.csv,0,0,0,0,0,0,0,0,20
0007113,MarioLevelInfoTimeline.csv,0,0,0,0,0,0,0,0,28
0007113,MarioLevelInfoTimeline.csv,1,0,0,0,0,0,0,0,14
0007113,MarioLevelInfoTimeline.csv,1,0,0,0,0,0,0,0,13
0007113,MarioLevelInfoTimeline.csv,2,0,0,0,0,0,0,0,14
0007113,MarioLevelInfoTimeline.csv,2,0,0,0,0,1,0,0,1
0007113,MarioLevelInfoTimeline.csv,2,0,0,0,0,1,0,0,13
0007113,MarioLevelInfoTimeline.csv,2,0,0,0,0,1,0,0,24
0007113,MarioLevelInfoTimeline.csv,2,0,0,0,0,1,0,0,23
0007113,MarioLevelInfoTimeline.csv,3,0,0,0,0,1,0,0,14
0007113,MarioLevelInfoTimeline.csv,3,0,0,0,0,1,0,0,13
0007113,MarioLevelInfoTimeline.csv,3,0,0,0,0,1,0,0,19
0007113,MarioLevelInfoTimeline.csv,3,0,0,0,0,2,0,0,1
0007113,MarioLevelInfoTimeline.csv,3,0,0,0,0,2,1,0,96
0007113,MarioLevelInfoTimeline.csv,3,0,0,0,0,2,1,0,20
0007113,MarioLevelInfoTimeline.csv,3,0,0,0,0,2,1,0,28
0007113,MarioLevelInfoTimeline.csv,3,1,0,0,0,2,1,0,22
0007113,MarioLevelInfoTimeline.csv,3,1,0,0,0,3,1,0,1
0007113,MarioLevelInfoTimeline.csv,4,1,0,0,0,3,1,0,14
0007113,MarioLevelInfoTimeline.csv,4,1,0,0,1,3,1,0,3
0007113,MarioLevelInfoTimeline.csv,4,1,0,0,1,3,1,0,13
0007113,MarioLevelInfoTimeline.csv,4,1,1,0,1,3,1,0,18
0007113,MarioLevelInfoTimeline.csv,5,1,1,0,1,3,1,0,14
0007113,MarioLevelInfoTimeline.csv,5,1,1,0,1,3,1,0,13
0007113,MarioLevelInfoTimeline.csv,5,2,1,0,1,3,1,0,22
0007113,MarioLevelInfoTimeline.csv,6,2,1,0,1,3,1,0,14
0007113,MarioLevelInfoTimeline.csv,6,2,1,0,1,3,1,0,13
0007113,MarioLevelInfoTimeline.csv,6,2,1,0,1,3,1,0,21
0007113,MarioLevelInfoTimeline.csv,7,2,1,0,1,3,1,0,14
0007113,MarioLevelInfoTimeline.csv,7,2,1,0,1,3,1,0,13
0007113,MarioLevelInfoTimeline.csv,8,2,1,0,1,3,1,0,14
0007113,MarioLevelInfoTimeline.csv,8,2,1,0,1,3,1,0,13
0007113,MarioLevelInfoTimeline.csv,8,2,2,0,1,3,1,0,18
0007113,MarioLevelInfoTimeline.csv,9,2,2,0,1,3,1,0,14
0007113,MarioLevelInfoTimeline.csv,9,2,2,0,1,3,1,0,13
0007113,MarioLevelInfoTimeline.csv,9,3,2,0,1,3,1,0,22
0007113,MarioLevelInfoTimeline.csv,10,3,2,0,1,3,1,0,14
0007113,MarioLevelInfoTimeline.csv,10,3,2,0,1,3,1,0,13
0007113,MarioLevelInfoTimeline.csv,10,3,3,0,1,3,1,0,18
0007113,MarioLevelInfoTimeline.csv,11,3,3,0,1,3,1,0,14
0007113,MarioLevelInfoTimeline.csv,11,3,3,0,1,3,1,0,17
0007113,MarioLevelInfoTimeline.csv,11,3,3,0,1,3,1,0,13
0007113,MarioLevelInfoTimeline.csv,12,3,3,0,1,3,1,0,14
0007113,MarioLevelInfoTimeline.csv,12,3,3,0,1,3,1,0,13
0007113,MarioLevelInfoTimeline.csv,12,4,3,0,1,3,1,0,22
0007113,MarioLevelInfoTimeline.csv,12,4,3,0,1,3,1,0,21
0007113,MarioLevelInfoTimeline.csv,12,4,3,0,1,3,1,0,17
0007113,MarioLevelInfoTimeline.csv,12,4,3,0,1,3,1,0,17
0007113,MarioLevelInfoTimeline.csv,12,4,3,0,1,3,1,0,21
0007113,MarioLevelInfoTimeline.csv,12,4,3,0,2,3,1,0,16
0007113,MarioLevelInfoTimeline.csv,12,4,3,0,2,3,1,0,19
0007113,MarioLevelInfoTimeline.csv,12,5,3,0,2,3,1,0,22
0007113,MarioLevelInfoTimeline.csv,12,6,3,0,2,3,1,0,22
0007113,MarioLevelInfoTimeline.csv,13,6,3,0,2,3,1,0,14
0007113,MarioLevelInfoTimeline.csv,13,7,3,0,2,3,1,0,22
0007113,MarioLevelInfoTimeline.csv,13,8,3,0,2,3,1,0,22
0007113,MarioLevelInfoTimeline.csv,13,8,3,0,2,3,1,0,21
